Protocol,Flow.Duration,Tot.Fwd.Pkts,Tot.Bwd.Pkts,TotLen.Bwd.Pkts,Fwd.Pkt.Len.Max,Bwd.Pkt.Len.Min,Flow.Byts.s,Flow.Pkts.s,Flow.IAT.Mean,Fwd.IAT.Std,Bwd.IAT.Tot,Bwd.IAT.Std,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Bwd.Pkts.s,Pkt.Len.Mean,Pkt.Len.Var,FIN.Flag.Cnt,SYN.Flag.Cnt,RST.Flag.Cnt,PSH.Flag.Cnt,URG.Flag.Cnt,CWR.Flag.Count,Down.Up.Ratio,Fwd.Byts.b.Avg,Fwd.Pkts.b.Avg,Fwd.Blk.Rate.Avg,Bwd.Byts.b.Avg,Bwd.Pkts.b.Avg,Fwd.Act.Data.Pkts,Fwd.Seg.Size.Min,Active.Mean,Active.Std,Idle.Mean,Label
6,14302,5,2,266,935,0,83974.26933,489.4420361,2383.666667,6987.027146,13609,0.0,13609,0,0,0,0,139.8405817,150.125,109240.125,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1329,5,2,247,935,0,889390.5192,5267.118134,221.5,499.6167698,699,0.0,699,0,0,0,0,1504.890895,147.75,108656.2143,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1134,5,2,310,935,0,1097883.598,6172.839506,189.0,431.6731016,623,0.0,623,0,0,0,0,1763.66843,155.625,110938.8393,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,31198,5,2,314,935,0,40034.6176,224.3733573,5199.666667,15418.03977,30547,0.0,30547,0,0,0,0,64.1066735,156.125,111117.2679,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1492,5,2,249,935,0,793565.6836,4691.689008,248.6666667,591.3295753,879,0.0,879,0,0,0,0,1340.482574,148.0,108713.4286,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1093,5,2,323,935,0,1150960.659,6404.391583,182.1666667,394.0316189,540,0.0,540,0,0,0,0,1829.826167,157.25,111533.3571,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,7678,5,2,260,935,0,155639.4895,911.6957541,1279.666667,3637.854725,7053,0.0,7053,0,0,0,0,260.4845012,149.375,109045.9821,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,14386,5,2,266,935,0,83483.94272,486.5841791,2397.666667,7029.615566,13874,0.0,13874,0,0,0,0,139.0240512,150.125,109240.125,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,17250,5,2,341,935,0,73971.01449,405.7971014,2875.0,8435.734882,16656,0.0,16656,0,0,0,0,115.942029,159.5,112426.2857,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,17428,5,2,287,935,0,70117.05302,401.6525132,2904.666667,8522.085543,16815,0.0,16815,0,0,0,0,114.7578609,152.75,109990.5,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,3221,5,2,312,935,0,387146.8488,2173.238125,536.8333333,1464.267138,2729,0.0,2729,0,0,0,0,620.9251785,155.875,111027.5536,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1324,5,2,308,935,0,938821.7523,5287.009063,220.6666667,516.8745818,752,0.0,752,0,0,0,0,1510.574018,155.375,110851.125,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1516,5,2,274,935,0,797493.4037,4617.414248,252.6666667,494.3932308,777,0.0,777,0,0,0,0,1319.261214,151.125,109512.9821,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1095,5,2,314,935,0,1140639.269,6392.694064,182.5,413.6184836,543,0.0,543,0,0,0,0,1826.484018,156.125,111117.2679,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,3915,5,2,314,935,0,319029.3742,1787.994891,652.5,1791.388544,3366,0.0,3366,0,0,0,0,510.8556833,156.125,111117.2679,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,16464,5,2,326,935,0,76591.35083,425.170068,2744.0,8064.550122,15866,0.0,15866,0,0,0,0,121.4771623,157.625,111676.5536,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1309,5,2,312,935,0,952635.5997,5347.593583,218.1666667,476.0513803,735,0.0,735,0,0,0,0,1527.883881,155.875,111027.5536,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1428,5,2,289,935,0,857142.8571,4901.960784,238.0,518.8326641,791,0.0,791,0,0,0,0,1400.560224,153.0,110067.7143,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1610,5,2,300,935,0,767080.7453,4347.826087,268.3333333,656.5188497,1064,0.0,1064,0,0,0,0,1242.236025,154.375,110510.2679,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,17978,5,2,349,935,0,71420.62521,389.3647792,2996.333333,8812.906085,17437,0.0,17437,0,0,0,0,111.2470798,160.5,112849.1429,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1250,5,2,291,935,0,980800.0,5600.0,208.3333333,485.2253772,761,0.0,761,0,0,0,0,1600.0,153.25,110145.9286,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
6,1551,5,2,333,935,0,817537.0729,4513.217279,258.5,549.7371342,907,0.0,907,0,0,0,0,1289.490651,158.5,112019.4286,0,0,1,1,0,0,0.0,0,0,0,0,0,1,20,0.0,0,0,0
