Protocol,Flow.Duration,Tot.Fwd.Pkts,Bwd.Pkt.Len.Min,Flow.Byts.s,Flow.Pkts.s,Bwd.IAT.Tot,Bwd.IAT.Std,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Bwd.Pkts.s,FIN.Flag.Cnt,SYN.Flag.Cnt,RST.Flag.Cnt,ACK.Flag.Cnt,URG.Flag.Cnt,CWR.Flag.Count,Down.Up.Ratio,Fwd.Byts.b.Avg,Fwd.Pkts.b.Avg,Fwd.Blk.Rate.Avg,Bwd.Byts.b.Avg,Bwd.Pkts.b.Avg,Fwd.Seg.Size.Min,Active.Std,Idle.Mean,Label
6,1549,5,0,763718.5281,4519.044545,535,0.0,0,0,0,0,1291.155584,0,0,1,0,0,0,0.0,0,0,0,0,0,20,0.0,0,0
6,1138,5,0,1093145.87,6151.142355,575,0.0,0,0,0,0,1757.469244,0,0,1,0,0,0,0.0,0,0,0,0,0,20,0.0,0,0
6,7271,5,0,171915.83,962.7286481,6220,0.0,0,0,0,0,275.065328,0,0,1,0,0,0,0.0,0,0,0,0,0,20,0.0,0,0
6,1950,5,0,607179.4872,3589.74359,931,0.0,0,0,0,0,1025.641026,0,0,1,0,0,0,0.0,0,0,0,0,0,20,0.0,0,0
6,34147,5,0,35903.59329,204.9960465,33414,0.0,0,0,0,0,58.570299,0,0,1,0,0,0,0.0,0,0,0,0,0,20,0.0,0,0
6,15954,5,0,77347.3737,438.7614391,15325,0.0,0,0,0,0,125.3604112,0,0,1,0,0,0,0.0,0,0,0,0,0,20,0.0,0,0
6,1180,5,0,1056779.661,5932.20339,553,0.0,0,0,0,0,1694.915254,0,0,1,0,0,0,0.0,0,0,0,0,0,20,0.0,0,0
6,7707,5,0,162060.4645,908.2652134,7115,0.0,0,0,0,0,259.5043467,0,0,1,0,0,0,0.0,0,0,0,0,0,20,0.0,0,0
6,1481,5,0,798784.605,4726.536124,889,0.0,0,0,0,0,1350.438893,0,0,1,0,0,0,0.0,0,0,0,0,0,20,0.0,0,0
6,1354,5,0,902511.0783,5169.867061,793,0.0,0,0,0,0,1477.104874,0,0,1,0,0,0,0.0,0,0,0,0,0,20,0.0,0,0
